Barcode,Shift,Updated At,Overall Result,OP100 - DEBURRING,Machine Result
"26040502040101RL","B","2026-04-10T19:07:37.653Z","IN PROGRESS","OK","OK"
"26040502010101RL","B","2026-04-10T18:44:56.033Z","NG","OK","OK"
"26041002790101RL","B","2026-04-10T18:37:31.880Z","IN PROGRESS","-","IN PROGRESS"
"26041002740101RL","B","2026-04-10T18:37:19.203Z","IN PROGRESS","-","IN PROGRESS"
"26041002730101RL","B","2026-04-10T18:37:08.927Z","NG","-","IN PROGRESS"
"26041002710101RL","B","2026-04-10T18:36:48.900Z","IN PROGRESS","-","IN PROGRESS"
"26041002770101RL","B","2026-04-10T18:36:10.880Z","IN PROGRESS","-","IN PROGRESS"
"26040902840101RL","B","2026-04-10T18:34:59.927Z","IN PROGRESS","-","IN PROGRESS"
"26040902800101RL","B","2026-04-10T18:34:15.530Z","IN PROGRESS","-","IN PROGRESS"
"26040902880101RL","B","2026-04-10T18:33:59.627Z","IN PROGRESS","-","IN PROGRESS"
"26040902830101RL","B","2026-04-10T18:33:46.877Z","IN PROGRESS","-","IN PROGRESS"
"26040902810101RL","B","2026-04-10T18:33:36.683Z","IN PROGRESS","-","IN PROGRESS"
"26040902820101RL","B","2026-04-10T18:33:26.927Z","IN PROGRESS","-","IN PROGRESS"
"26040902870101RL","B","2026-04-10T18:33:05.857Z","IN PROGRESS","-","IN PROGRESS"
"26040902860101RL","B","2026-04-10T18:32:49.430Z","IN PROGRESS","-","IN PROGRESS"
"26040501950101RL","B","2026-04-10T18:02:16.890Z","NG","OK","OK"
"26040902140101RL","B","2026-04-10T18:02:01.357Z","IN PROGRESS","-","IN PROGRESS"
"26040902150101RL","B","2026-04-10T18:01:50.403Z","IN PROGRESS","-","IN PROGRESS"
"26040902160101RL","B","2026-04-10T18:01:38.853Z","IN PROGRESS","-","IN PROGRESS"
"26040902310101RL","B","2026-04-10T18:01:27.827Z","IN PROGRESS","-","IN PROGRESS"
"26040902190101RL","B","2026-04-10T18:01:01.800Z","NG","-","IN PROGRESS"
"26040902270101RL","B","2026-04-10T18:00:48.457Z","IN PROGRESS","-","IN PROGRESS"
"26040902220101RL","B","2026-04-10T18:00:41.027Z","IN PROGRESS","-","IN PROGRESS"
"26040902200101RL","B","2026-04-10T18:00:22.650Z","IN PROGRESS","-","IN PROGRESS"
"26040902570101RL","B","2026-04-10T18:00:16.503Z","IN PROGRESS","-","IN PROGRESS"
"26040902350101RL","B","2026-04-10T18:00:10.953Z","IN PROGRESS","-","IN PROGRESS"
"26041002610101RL","B","2026-04-10T17:59:04.200Z","IN PROGRESS","-","IN PROGRESS"
"26041002620101RL","B","2026-04-10T17:58:58.363Z","IN PROGRESS","-","IN PROGRESS"
"26040602380101RL","B","2026-04-10T17:57:38.850Z","IN PROGRESS","-","IN PROGRESS"
"26040602360101RL","B","2026-04-10T17:56:54.377Z","IN PROGRESS","-","IN PROGRESS"
"26040602400101RL","B","2026-04-10T17:56:49.433Z","IN PROGRESS","-","IN PROGRESS"
"26040602420101RL","B","2026-04-10T17:56:13.430Z","NG","-","IN PROGRESS"
"26041002700101RL","B","2026-04-10T17:55:25.727Z","IN PROGRESS","-","IN PROGRESS"
"26040602480101RL","B","2026-04-10T17:54:53.857Z","IN PROGRESS","-","IN PROGRESS"
"26040602080101RL","B","2026-04-10T17:24:25.283Z","IN PROGRESS","-","IN PROGRESS"
"26040502030101RL","B","2026-04-10T17:18:07.360Z","IN PROGRESS","-","IN PROGRESS"
"26040901930101RL","B","2026-04-10T16:35:26.933Z","IN PROGRESS","-","IN PROGRESS"
"26040902060101RL","B","2026-04-10T14:45:45.760Z","IN PROGRESS","OK","OK"
